日期,平均溫度(°C),最高溫度(°C),最低溫度(°C),平均相對溼度(%),最小相對溼度(%),降雨量(mm)
2014-05-07,20.7,22.7,19.0,92,82.0,3.5
2014-05-08,23.7,28.6,20.3,80,60.0,0.5
2014-05-09,22.8,24.6,21.0,92,79.0,43.5
2014-05-10,24.7,28.6,21.9,83,65.0,0.0
2014-05-11,26.7,32.4,22.5,78,50.0,1.5
2014-05-12,27.4,32.7,24.2,77,52.0,0.5
2014-05-13,26.0,29.5,23.7,83,62.0,3.0
2014-05-14,29.7,34.7,24.0,64,47.0,0.0
2014-05-15,27.0,-99.7,22.0,77,59.0,52.0
2014-05-16,23.9,27.9,22.0,88,71.0,2.5
2014-05-17,27.1,33.0,23.8,82,57.0,0.0
2014-05-18,27.9,32.9,26.1,75,58.0,1.0
2014-05-19,25.7,27.5,24.3,88,74.0,25.0
2014-05-20,24.8,27.9,21.4,92,74.0,70.5
2014-05-21,19.1,21.5,17.5,97,92.0,241.0
2014-05-22,23.3,28.8,19.8,93,69.0,12.0
2014-05-23,23.9,26.3,22.9,93,83.0,2.5
2014-05-24,27.3,33.1,23.1,77,57.0,0.0
2014-05-25,28.3,32.7,24.4,75,60.0,0.0
2014-05-26,28.8,34.4,25.4,76,55.0,4.5
2014-05-27,26.8,-99.7,25.5,88,78.0,7.0
2014-05-28,27.8,30.7,25.8,84,74.0,0.0
2014-05-29,25.7,29.6,24.2,94,79.0,75.0
2014-05-30,26.7,31.0,25.0,90,72.0,2.0
2014-05-31,27.7,31.7,25.2,83,65.0,0.0
2014-06-01,28.3,33.5,25.5,78,53.0,0.0
2014-06-02,30.0,34.7,26.2,69,49.0,0.0
2014-06-03,27.5,29.8,25.9,79,68.0,1.5
2014-06-04,27.7,31.3,24.9,78,65.0,0.0
2014-06-05,27.7,-99.7,24.0,86,71.0,52.5
2014-06-06,25.2,29.1,22.7,90,71.0,94.0
2014-06-07,25.9,28.5,23.8,91,78.0,27.0
2014-06-08,25.5,29.6,24.3,94,74.0,22.0
2014-06-09,25.8,27.9,24.8,94,85.0,5.5
2014-06-10,25.6,27.6,24.4,91,82.0,0.5
2014-06-11,24.9,27.2,23.4,87,78.0,1.0
2014-06-12,25.9,28.7,24.5,72,59.0,0.0
2014-06-13,27.2,32.5,24.1,66,45.0,0.0
2014-06-14,27.5,31.1,24.6,81,68.0,0.0
2014-06-15,26.8,30.1,25.5,90,73.0,2.0
2014-06-16,27.4,33.3,25.3,86,58.0,13.5
2014-06-17,29.8,34.4,25.5,73,57.0,0.0
2014-06-18,30.4,34.9,27.7,70,58.0,0.0
2014-06-19,29.6,33.3,26.9,76,60.0,0.0
2014-06-20,28.9,32.4,26.8,82,67.0,2.0
2014-06-21,29.0,34.2,26.5,81,56.0,0.5
2014-06-22,28.9,33.0,26.8,82,58.0,1.0
2014-06-23,29.2,33.4,26.7,79,61.0,0.5
2014-06-24,28.5,32.2,27.0,78,62.0,0.0
2014-06-25,29.6,32.8,26.7,77,62.0,0.0
2014-06-26,30.6,34.7,26.9,71,53.0,0.0
2014-06-27,30.6,34.6,27.0,73,57.0,0.0
2014-06-28,30.6,35.4,27.7,74,54.0,0.0
2014-06-29,30.1,34.2,26.3,75,59.0,2.0
2014-06-30,28.1,33.7,25.2,83,59.0,14.0
2014-07-01,29.2,33.4,26.2,78,64.0,0.0
2014-07-02,30.6,35.9,26.3,70,51.0,0.0
2014-07-03,31.5,35.8,27.8,68,50.0,0.0
2014-07-04,30.0,33.6,28.0,77,61.0,1.0
2014-07-05,30.8,35.9,27.3,70,51.0,0.0
2014-07-06,32.1,37.9,28.3,68,49.0,0.0
2014-07-07,32.2,38.2,28.2,67,46.0,0.0
2014-07-08,28.3,30.9,26.9,83,68.0,11.5
2014-07-09,32.2,37.3,26.9,66,45.0,0.0
2014-07-10,31.1,34.5,28.9,72,61.0,0.0
2014-07-11,30.5,34.6,27.5,75,55.0,1.0
2014-07-12,30.8,35.5,26.9,72,55.0,0.0
2014-07-13,32.1,37.0,28.3,64,46.0,0.0
2014-07-14,30.2,36.7,24.8,74,51.0,14.5
2014-07-15,30.0,34.9,27.2,75,52.0,0.0
2014-07-16,30.0,34.2,26.4,71,55.0,0.0
2014-07-17,31.2,37.0,26.6,68,47.0,0.0
2014-07-18,30.2,35.3,26.5,72,51.0,6.0
2014-07-19,31.0,37.3,26.3,67,44.0,0.0
2014-07-20,31.8,37.1,28.1,60,44.0,0.0
2014-07-21,31.7,36.7,28.2,59,42.0,0.0
2014-07-22,29.1,33.9,25.5,78,57.0,19.5
2014-07-23,26.6,28.7,25.0,90,74.0,31.0
2014-07-24,29.6,35.2,25.3,76,51.0,0.5
2014-07-25,27.8,33.7,24.9,86,60.0,46.0
2014-07-26,28.8,34.8,24.4,78,52.0,0.0
2014-07-27,30.4,36.7,26.3,69,47.0,0.0
2014-07-28,30.7,37.1,26.5,66,47.0,0.0
2014-07-29,31.1,36.2,27.4,66,50.0,0.0
2014-07-30,30.6,35.5,27.7,75,54.0,2.0
2014-07-31,29.2,32.5,26.0,84,66.0,37.5
2014-08-01,31.4,36.7,28.3,70,51.0,0.0
2014-08-02,31.7,36.5,28.3,66,47.0,0.0
2014-08-03,30.2,35.8,27.8,71,50.0,0.0
2014-08-04,29.6,32.7,27.2,77,66.0,0.0
2014-08-05,29.5,33.6,27.1,78,57.0,3.5
2014-08-06,30.1,34.9,28.0,72,55.0,0.0
2014-08-07,30.7,35.0,27.4,71,52.0,0.0
2014-08-08,31.1,,,71,,0.0
2014-08-09,31.1,,,71,,0.0
2014-08-10,30.9,,,68,,0.0
2014-08-11,30.2,,,72,,0.5
2014-08-12,29.5,35.1,27.1,78,58.0,3.0
2014-08-13,28.9,33.5,27.1,77,58.0,0.0
2014-08-14,30.7,35.5,25.8,67,49.0,0.0
2014-08-15,30.8,34.8,27.7,70,53.0,0.0
2014-08-16,30.5,34.6,27.4,74,54.0,1.5
2014-08-17,30.1,34.8,27.7,75,53.0,0.0
2014-08-18,28.1,33.1,23.1,82,62.0,24.0
2014-08-19,26.4,32.6,24.1,87,58.0,49.5
2014-08-20,28.8,33.4,24.9,75,50.0,0.0
2014-08-21,29.5,34.5,25.5,71,51.0,0.0
2014-08-22,29.8,34.9,26.4,71,52.0,0.0
2014-08-23,29.6,34.2,26.7,67,46.0,0.0
2014-08-24,30.0,34.7,25.2,69,52.0,0.0
2014-08-25,30.1,34.3,27.0,71,54.0,0.0
2014-08-26,30.6,35.8,26.7,68,51.0,0.0
2014-08-27,30.0,34.7,27.1,68,46.0,0.0
2014-08-28,29.8,33.3,26.1,71,56.0,0.0
2014-08-29,31.5,36.4,27.1,66,47.0,0.0
2014-08-30,30.5,35.1,27.7,72,56.0,0.0
2014-08-31,30.3,35.3,26.7,67,49.0,0.0
2014-09-01,30.8,,,65,,0.0
2014-09-02,30.6,35.8,26.7,66,50.0,0.0
2014-09-03,30.9,35.2,27.2,66,50.0,0.0
2014-09-04,30.1,34.1,27.5,71,61.0,0.0
2014-09-05,31.2,37.2,26.8,63,41.0,0.0
2014-09-06,31.2,37.2,28.2,66,45.0,0.0
2014-09-07,30.0,33.9,27.1,72,58.0,0.0
2014-09-08,30.6,35.0,27.2,69,53.0,0.0
2014-09-09,30.6,35.9,27.6,69,51.0,0.0
2014-09-10,29.8,33.3,26.7,73,57.0,0.0
2014-09-11,30.3,34.5,26.7,70,58.0,0.0
2014-09-12,30.5,35.6,27.7,68,47.0,0.0
2014-09-13,30.4,35.4,27.8,68,51.0,0.0
2014-09-14,30.4,35.3,27.7,70,51.0,0.0
2014-09-15,32.2,37.6,28.4,61,45.0,0.0
2014-09-16,31.4,36.3,28.2,67,50.0,0.0
2014-09-17,31.0,36.5,28.1,70,48.0,0.0
2014-09-18,31.0,36.2,27.5,65,48.0,0.0
2014-09-19,31.0,35.3,27.8,63,49.0,0.0
2014-09-20,31.4,36.6,28.5,61,44.0,0.0
2014-09-21,29.0,35.0,24.9,70,41.0,15.5
2014-09-22,26.3,28.7,24.0,86,74.0,107.0
2014-09-23,28.2,32.1,25.8,79,63.0,0.0
2014-09-24,27.7,31.5,25.5,83,66.0,0.5
2014-09-25,27.9,32.4,24.5,79,59.0,0.5
2014-09-26,28.2,33.5,25.6,74,57.0,0.0
2014-09-27,27.8,33.9,24.4,70,56.0,0.0
2014-09-28,27.9,34.9,24.2,69,47.0,0.0
2014-09-29,28.1,33.3,23.8,68,45.0,0.0
2014-09-30,28.5,35.0,24.4,70,48.0,0.0
2014-10-01,26.4,29.4,25.0,82,68.0,0.5
2014-10-02,27.2,32.7,24.5,73,52.0,0.0
2014-10-03,25.8,30.9,23.2,66,49.0,0.0
2014-10-04,24.5,28.7,21.7,63,48.0,0.0
2014-10-05,25.3,29.7,23.1,65,49.0,0.0
2014-10-06,24.5,28.2,21.4,62,45.0,0.0
2014-10-07,23.8,28.3,21.0,64,45.0,0.0
2014-10-08,24.5,28.5,21.9,68,53.0,0.0
2014-10-09,23.6,26.0,21.4,89,72.0,9.5
2014-10-10,24.0,27.0,23.2,93,81.0,50.5
2014-10-11,23.4,24.5,22.7,88,77.0,16.5
2014-10-12,23.0,27.7,20.6,77,50.0,1.0
2014-10-13,22.4,27.0,18.9,69,52.0,0.0
2014-10-14,21.5,26.1,18.7,64,48.0,0.0
2014-10-15,21.5,26.5,17.9,60,44.0,0.0
2014-10-16,21.9,26.8,17.3,59,40.0,0.0
2014-10-17,23.3,26.0,23.4,69,63.0,0.0
2014-10-18,25.0,29.7,22.2,64,49.0,0.0
2014-10-19,25.9,32.1,22.0,68,51.0,0.0
2014-10-20,26.2,30.9,21.8,72,54.0,0.0
2014-10-21,27.1,33.8,22.9,71,39.0,0.0
2014-10-22,23.4,27.2,21.3,80,70.0,0.0
2014-10-23,23.3,26.5,21.6,65,52.0,0.0
2014-10-24,24.1,27.6,22.2,71,62.0,0.0
2014-10-25,24.5,28.6,22.5,78,65.0,0.0
2014-10-26,25.4,29.8,22.1,79,62.0,0.0
2014-10-27,25.3,28.3,22.7,69,51.0,0.0
2014-10-28,23.5,25.9,22.4,67,60.0,0.0
2014-10-29,25.9,31.2,22.6,66,48.0,0.0
2014-10-30,26.6,32.4,23.3,63,45.0,0.0
2014-10-31,25.6,29.7,22.8,68,55.0,0.0
2014-11-01,25.6,31.7,21.6,76,51.0,0.0
2014-11-02,22.1,24.6,19.3,87,77.0,6.0
2014-11-03,20.1,21.7,18.8,65,57.0,0.0
2014-11-04,20.5,23.2,18.6,64,55.0,0.0
2014-11-05,21.4,27.6,18.3,62,45.0,0.0
2014-11-06,21.8,26.7,18.3,68,50.0,0.0
2014-11-07,22.0,24.8,20.7,65,55.0,0.0
2014-11-08,23.8,27.9,21.6,72,54.0,0.0
2014-11-09,21.0,22.3,20.0,91,85.0,12.5
2014-11-10,21.8,24.7,20.0,73,60.0,0.0
2014-11-11,22.0,26.5,19.6,71,56.0,0.0
2014-11-12,20.1,22.3,18.3,84,74.0,2.0
2014-11-13,17.5,18.7,16.5,85,74.0,12.0
2014-11-14,18.8,20.9,17.4,77,68.0,0.5
2014-11-15,20.3,22.4,18.4,81,72.0,2.5
2014-11-16,21.7,26.4,18.0,85,65.0,1.5
2014-11-17,18.6,20.3,16.2,92,86.0,23.0
2014-11-18,17.7,20.0,16.0,80,65.0,1.5
2014-11-19,19.7,22.2,17.5,72,59.0,0.0
2014-11-20,21.4,26.6,17.8,79,57.0,0.0
2014-11-21,22.3,27.6,17.7,78,56.0,0.0
2014-11-22,23.8,29.1,19.8,72,47.0,0.0
2014-11-23,24.5,30.8,20.7,68,47.0,0.0
2014-11-24,22.8,28.1,19.5,76,55.0,0.0
2014-11-25,22.0,27.1,18.7,81,63.0,0.0
2014-11-26,22.2,26.8,20.1,78,57.0,0.0
2014-11-27,23.1,25.5,21.3,83,74.0,0.0
2014-11-28,23.4,28.2,21.1,85,62.0,0.0
2014-11-29,24.7,30.0,22.2,84,65.0,0.0
2014-11-30,24.4,28.8,21.8,84,64.0,0.0
2014-12-01,17.2,23.3,13.5,81,65.0,9.0
2014-12-02,15.4,17.3,13.0,75,65.0,3.0
2014-12-03,20.4,24.7,16.8,72,52.0,3.5
2014-12-04,13.9,19.5,11.7,85,65.0,27.0
2014-12-05,14.1,16.7,11.8,60,50.0,0.0
2014-12-06,15.8,19.2,12.6,60,46.0,0.0
2014-12-07,19.6,25.5,16.1,63,43.0,0.0
2014-12-08,16.6,18.8,15.6,88,78.0,6.0
2014-12-09,17.7,35.7,15.8,88,75.0,4.0
2014-12-10,19.8,23.8,17.8,90,72.0,0.0
2014-12-11,16.4,19.2,14.1,91,82.0,3.5
2014-12-12,12.8,14.4,11.7,83,66.0,5.5
2014-12-13,13.5,15.8,12.3,62,52.0,0.0
2014-12-14,15.8,17.9,13.5,72,64.0,0.0
2014-12-15,17.6,20.8,15.2,83,71.0,0.0
2014-12-16,14.1,17.7,11.7,66,54.0,0.0
2014-12-17,11.1,13.0,10.0,55,47.0,0.0
2014-12-18,14.7,18.3,11.1,61,49.0,0.0
2014-12-19,15.9,17.8,14.4,81,69.0,2.5
2014-12-20,15.0,17.7,13.8,73,55.0,0.5
2014-12-21,14.3,16.6,12.2,74,65.0,1.0
2014-12-22,13.1,16.0,11.0,58,43.0,0.0
2014-12-23,17.0,20.9,13.6,60,44.0,0.0
2014-12-24,18.4,,,74,,0.0
2014-12-25,16.2,18.8,14.7,76,63.0,7.5
2014-12-26,16.0,18.8,15.0,75,59.0,0.5
2014-12-27,15.6,17.2,14.2,88,76.0,18.0
2014-12-28,13.7,15.0,12.5,92,81.0,3.0
2014-12-29,13.4,17.5,10.9,66,40.0,0.0
2014-12-30,15.2,21.4,10.8,63,47.0,0.0
2014-12-31,16.1,23.5,10.3,65,41.0,0.0
2015-01-01,13.3,15.6,11.3,58,45.0,0.0
2015-01-02,13.5,17.5,10.9,59,49.0,0.0
2015-01-03,16.0,22.1,12.3,61,42.0,0.0
2015-01-04,16.1,21.8,11.3,75,48.0,0.0
2015-01-05,17.6,23.7,13.3,80,47.0,0.0
2015-01-06,18.6,24.2,16.0,79,54.0,0.0
2015-01-07,14.4,17.5,12.4,84,69.0,1.0
2015-01-08,12.8,15.1,11.0,62,52.0,0.0
2015-01-09,14.7,18.8,11.8,64,51.0,0.0
2015-01-10,16.2,19.5,13.9,61,48.0,0.0
2015-01-11,16.7,19.3,15.3,64,54.0,0.0
2015-01-12,16.9,19.0,15.3,68,55.0,0.0
2015-01-13,20.1,26.2,16.2,67,44.0,6.5
2015-01-14,15.0,17.3,13.3,87,66.0,7.5
2015-01-15,14.8,17.0,11.7,73,64.0,0.0
2015-01-16,16.9,21.5,14.4,70,54.0,0.0
2015-01-17,14.8,17.1,13.9,61,48.0,0.0
2015-01-18,16.4,21.6,13.7,65,50.0,0.0
2015-01-19,15.3,17.4,14.2,60,52.0,0.0
2015-01-20,17.9,22.4,14.7,64,52.0,0.0
2015-01-21,16.2,20.5,12.6,84,64.0,1.0
2015-01-22,13.9,19.1,10.8,69,40.0,0.0
2015-01-23,14.9,22.8,10.0,59,34.0,0.0
2015-01-24,16.5,24.1,11.8,65,37.0,0.0
2015-01-25,18.3,23.7,13.8,70,51.0,0.0
2015-01-26,18.0,21.4,15.7,82,63.0,1.0
2015-01-27,16.6,18.7,14.8,90,82.0,14.0
2015-01-28,15.0,16.8,13.9,83,74.0,0.0
2015-01-29,18.0,23.6,14.5,80,62.0,0.0
2015-01-30,14.8,17.4,12.6,86,77.0,0.0
2015-01-31,13.7,16.0,12.6,80,72.0,0.0
2015-02-01,15.3,19.0,12.9,76,61.0,0.0
2015-02-02,17.7,,,76,,0.0
2015-02-03,16.5,19.1,14.8,91,79.0,4.0
2015-02-04,14.2,17.0,12.3,89,81.0,2.5
2015-02-05,11.0,12.4,9.9,77,64.0,4.0
2015-02-06,11.4,,,85,,1.0
2015-02-07,15.9,21.0,11.7,85,59.0,0.5
2015-02-08,12.3,,,75,,3.0
2015-02-09,10.5,11.6,9.3,75,56.0,0.0
2015-02-10,13.1,17.4,10.6,69,54.0,0.0
2015-02-11,14.4,18.9,10.7,78,45.0,0.0
2015-02-12,15.1,19.2,12.7,58,33.0,0.0
2015-02-13,17.1,25.4,11.3,52,28.0,0.0
2015-02-14,19.5,24.8,15.0,54,32.0,0.0
2015-02-15,19.0,23.9,14.3,68,49.0,7.0
2015-02-16,19.1,25.0,14.4,82,53.0,11.0
2015-02-17,19.2,24.3,17.2,72,52.0,0.0
2015-02-18,17.4,20.3,15.8,67,57.0,0.0
2015-02-19,16.2,18.9,15.1,68,57.0,0.0
2015-02-20,17.8,23.7,15.6,75,52.0,0.0
2015-02-21,19.7,26.2,15.7,76,45.0,0.5
2015-02-22,19.1,22.9,16.7,87,71.0,0.0
2015-02-23,17.7,19.5,16.1,92,86.0,0.0
2015-02-24,17.1,22.2,14.0,90,71.0,52.5
2015-02-25,18.9,24.2,15.5,88,67.0,0.0
2015-02-26,18.2,20.6,16.0,92,87.0,0.5
2015-02-27,18.9,24.7,16.0,87,69.0,0.0
2015-02-28,17.3,20.8,15.6,89,74.0,0.0
2015-03-01,13.3,16.5,11.7,81,70.0,0.0
2015-03-02,14.6,16.4,12.6,82,74.0,0.0
2015-03-03,18.5,24.7,14.7,80,62.0,0.0
2015-03-04,14.2,15.4,13.3,84,76.0,2.0
2015-03-05,15.7,17.8,13.4,90,81.0,1.5
2015-03-06,15.2,17.6,12.8,91,76.0,10.5
2015-03-07,16.2,19.1,14.4,87,76.0,0.5
2015-03-08,18.0,21.5,15.9,89,76.0,0.5
2015-03-09,16.4,19.5,14.3,79,66.0,0.0
2015-03-10,12.9,15.0,10.6,83,68.0,14.0
2015-03-11,12.0,12.9,10.6,95,92.0,46.0
2015-03-12,13.4,15.0,12.2,91,81.0,11.5
2015-03-13,17.9,23.4,13.1,82,64.0,0.0
2015-03-14,19.7,24.4,15.7,82,63.0,0.0
2015-03-15,21.6,26.8,17.6,80,58.0,0.0
2015-03-16,22.3,27.0,19.9,84,67.0,0.0
2015-03-17,23.7,28.5,20.7,84,63.0,0.0
2015-03-18,25.1,30.1,22.6,74,48.0,0.0
2015-03-19,24.9,29.8,22.5,74,43.0,0.0
2015-03-20,22.4,29.1,19.9,84,61.0,0.0
2015-03-21,19.7,21.9,17.0,86,74.0,0.0
2015-03-22,19.0,,,71,,0.0
2015-03-23,16.4,19.4,13.7,88,60.0,43.0
2015-03-24,15.5,17.4,13.7,85,73.0,3.5
2015-03-25,14.3,15.6,13.5,93,84.0,28.0
2015-03-26,18.0,19.2,15.3,93,85.0,22.0
2015-03-27,16.7,18.0,14.0,94,83.0,19.0
2015-03-28,17.9,23.5,13.1,71,47.0,0.0
2015-03-29,22.0,29.6,14.8,64,30.0,0.0
2015-03-30,23.6,28.8,19.5,70,48.0,0.0
2015-03-31,24.1,30.1,23.7,79,58.0,0.0
2015-04-01,25.8,30.7,22.8,79,55.0,0.0
2015-04-02,26.2,31.4,22.7,79,55.0,0.0
2015-04-03,26.9,32.5,22.6,75,53.0,0.0
2015-04-04,27.3,32.8,23.8,71,46.0,0.0
2015-04-05,27.7,32.9,23.3,69,50.0,0.0
2015-04-06,26.8,34.8,21.4,74,45.0,0.0
2015-04-07,19.4,22.4,14.7,79,68.0,0.5
2015-04-08,14.9,17.1,13.9,88,74.0,8.0
2015-04-09,17.2,20.3,14.2,87,74.0,7.5
2015-04-10,17.0,18.4,14.9,91,83.0,11.5
2015-04-11,15.4,16.9,14.4,94,86.0,23.5
2015-04-12,17.2,18.7,15.5,94,88.0,1.0
2015-04-13,19.1,24.6,15.3,71,41.0,0.5
2015-04-14,17.9,23.6,13.4,55,28.0,0.0
2015-04-15,20.0,26.7,12.2,52,16.0,0.0
2015-04-16,23.3,29.5,18.0,65,46.0,0.0
2015-04-17,22.4,26.8,19.1,82,66.0,0.0
2015-04-18,25.2,31.8,21.6,82,51.0,2.0
2015-04-19,26.8,33.0,23.1,76,44.0,6.0
2015-04-20,25.8,32.8,18.2,70,35.0,4.5
2015-04-21,18.2,20.2,16.8,86,76.0,25.5
2015-04-22,19.6,24.2,17.2,76,57.0,0.5
2015-04-23,22.7,27.3,19.1,74,64.0,0.0
2015-04-24,23.4,28.5,21.0,78,61.0,0.0
2015-04-25,22.5,26.0,21.0,70,57.0,0.0
2015-04-26,25.4,32.5,20.6,64,45.0,0.0
